x-axis,1
second,Volt
+50.5000E-03,
+50.6150E-03,
+50.7300E-03,+2.0924623E+00
+50.8450E-03,+2.0896985E+00
+50.9600E-03,+2.0907035E+00
+51.0750E-03,+2.0894472E+00
+51.1900E-03,+2.0964824E+00
+51.3050E-03,+2.0924623E+00
+51.4200E-03,+2.0939698E+00
+51.5350E-03,+2.0929648E+00
+51.6500E-03,+2.0927136E+00
+51.7650E-03,+2.0869347E+00
+51.8800E-03,+2.0987437E+00
+51.9950E-03,+2.0964824E+00
+52.1100E-03,+2.0924623E+00
+52.2250E-03,+2.1042714E+00
+52.3400E-03,+2.1075377E+00
+52.4550E-03,+2.1125628E+00
+52.5700E-03,+2.1080402E+00
+52.6850E-03,+2.1085427E+00
+52.8000E-03,+2.1165829E+00
+52.9150E-03,+2.1113065E+00
+53.0300E-03,+2.1087940E+00
+53.1450E-03,+2.1055276E+00
+53.2600E-03,+2.1140704E+00
+53.3750E-03,+2.1180905E+00
+53.4900E-03,+2.1085427E+00
+53.6050E-03,+2.1070352E+00
+53.7200E-03,+2.1092965E+00
+53.8350E-03,+2.1158291E+00
+53.9500E-03,+2.1080402E+00
+54.0650E-03,+2.1095477E+00
+54.1800E-03,+2.1125628E+00
+54.2950E-03,+2.1022613E+00
+54.4100E-03,+2.1087940E+00
+54.5250E-03,+2.1072864E+00
+54.6400E-03,+2.1125628E+00
+54.7550E-03,+2.1095477E+00
+54.8700E-03,+2.1125628E+00
+54.9850E-03,+2.1095477E+00
+55.1000E-03,+2.0914573E+00
+55.2150E-03,+2.1077889E+00
+55.3300E-03,+2.1085427E+00
+55.4450E-03,+2.1085427E+00
+55.5600E-03,+2.1035176E+00
+55.6750E-03,+2.1005025E+00
+55.7900E-03,+2.1045226E+00
+55.9050E-03,+2.0964824E+00
+56.0200E-03,+2.0939698E+00
+56.1350E-03,+2.0917085E+00
+56.2500E-03,+2.0884422E+00
+56.3650E-03,+2.0924623E+00
+56.4800E-03,+2.0907035E+00
+56.5950E-03,+2.0844221E+00
+56.7100E-03,+2.0844221E+00
+56.8250E-03,+2.0829146E+00
+56.9400E-03,+2.0844221E+00
+57.0550E-03,+2.0844221E+00
+57.1700E-03,+2.0844221E+00
+57.2850E-03,+2.0844221E+00
+57.4000E-03,+2.0891960E+00
+57.5150E-03,+2.0849246E+00
+57.6300E-03,+2.0846734E+00
+57.7450E-03,+2.0869347E+00
+57.8600E-03,+2.0859296E+00
+57.9750E-03,+2.0876884E+00
+58.0900E-03,+2.0844221E+00
+58.2050E-03,+2.0869347E+00
+58.3200E-03,+2.0844221E+00
+58.4350E-03,+2.0917085E+00
+58.5500E-03,+2.0884422E+00
+58.6650E-03,+2.0924623E+00
+58.7800E-03,+2.0914573E+00
+58.8950E-03,+2.0894472E+00
+59.0100E-03,+2.0924623E+00
+59.1250E-03,+2.0884422E+00
+59.2400E-03,+2.0899497E+00
+59.3550E-03,+2.0889447E+00
+59.4700E-03,+2.0964824E+00
+59.5850E-03,+2.0937186E+00
+59.7000E-03,+2.0964824E+00
+59.8150E-03,+2.0884422E+00
+59.9300E-03,+2.0959799E+00
+60.0450E-03,+2.0937186E+00
+60.1600E-03,+2.0924623E+00
+60.2750E-03,+2.0969849E+00
+60.3900E-03,+2.0959799E+00
+60.5050E-03,+2.1045226E+00
+60.6200E-03,+2.1060301E+00
+60.7350E-03,+2.1072864E+00
+60.8500E-03,+2.1075377E+00
+60.9650E-03,+2.1097990E+00
+61.0800E-03,+2.1092965E+00
+61.1950E-03,+2.1090452E+00
+61.3100E-03,+2.1040201E+00
+61.4250E-03,+2.1045226E+00
+61.5400E-03,+2.1100503E+00
+61.6550E-03,+2.1113065E+00
+61.7700E-03,+2.1168342E+00
+61.8850E-03,+2.1140704E+00
+62.0000E-03,+2.1115578E+00
+62.1150E-03,+2.1153266E+00
+62.2300E-03,+2.1120603E+00
+62.3450E-03,+2.1100503E+00
+62.4600E-03,+2.1092965E+00
+62.5750E-03,+2.1188442E+00
+62.6900E-03,+2.1087940E+00
+62.8050E-03,+2.1072864E+00
+62.9200E-03,+2.1060301E+00
+63.0350E-03,+2.1130653E+00
+63.1500E-03,+2.1160804E+00
+63.2650E-03,+2.1085427E+00
+63.3800E-03,+2.1100503E+00
+63.4950E-03,+2.1158291E+00
+63.6100E-03,+2.1045226E+00
+63.7250E-03,+2.1002513E+00
+63.8400E-03,+2.1035176E+00
+63.9550E-03,+2.0974874E+00
+64.0700E-03,+2.0992462E+00
+64.1850E-03,+2.0939698E+00
+64.3000E-03,+2.0939698E+00
+64.4150E-03,+2.0861809E+00
+64.5300E-03,+2.0932161E+00
+64.6450E-03,+2.0856784E+00
+64.7600E-03,+2.0907035E+00
+64.8750E-03,+2.0844221E+00
+64.9900E-03,+2.0844221E+00
+65.1050E-03,+2.0854271E+00
+65.2200E-03,+2.0804020E+00
+65.3350E-03,+2.0876884E+00
+65.4500E-03,+2.0839196E+00
+65.5650E-03,+2.0844221E+00
+65.6800E-03,+2.0844221E+00
+65.7950E-03,+2.0876884E+00
+65.9100E-03,+2.0804020E+00
+66.0250E-03,+2.0829146E+00
+66.1400E-03,+2.0819095E+00
+66.2550E-03,+2.0876884E+00
+66.3700E-03,+2.0806533E+00
+66.4850E-03,+2.0884422E+00
+66.6000E-03,+2.0884422E+00
+66.7150E-03,+2.0844221E+00
+66.8300E-03,+2.0879397E+00
+66.9450E-03,+2.0912060E+00
+67.0600E-03,+2.0947236E+00
+67.1750E-03,+2.0854271E+00
+67.2900E-03,+2.0919598E+00
+67.4050E-03,+2.0964824E+00
+67.5200E-03,+2.0907035E+00
+67.6350E-03,+2.0997487E+00
+67.7500E-03,+2.0924623E+00
+67.8650E-03,+2.0977387E+00
+67.9800E-03,+2.0964824E+00
+68.0950E-03,+2.0924623E+00
+68.2100E-03,+2.0959799E+00
+68.3250E-03,+2.0909548E+00
+68.4400E-03,+2.0884422E+00
+68.5550E-03,+2.0957286E+00
+68.6700E-03,+2.1105528E+00
+68.7850E-03,+2.1072864E+00
+68.9000E-03,+2.1012563E+00
+69.0150E-03,+2.1090452E+00
+69.1300E-03,+2.1040201E+00
+69.2450E-03,+2.1070352E+00
+69.3600E-03,+2.1085427E+00
+69.4750E-03,+2.1085427E+00
+69.5900E-03,+2.1052764E+00
+69.7050E-03,+2.1057789E+00
+69.8200E-03,+2.1027638E+00
+69.9350E-03,+2.1085427E+00
+70.0500E-03,+2.1108040E+00
+70.1650E-03,+2.1045226E+00
