x-axis,1,2
second,Volt,Volt
+475.000E-03,,
+476.350E-03,,
+477.700E-03,+70.151E-03,+100.477E-03
+479.050E-03,+92.261E-03,+126.859E-03
+480.400E-03,+87.990E-03,+124.347E-03
+481.750E-03,+74.171E-03,+96.709E-03
+483.100E-03,+80.452E-03,+87.412E-03
+484.450E-03,+52.060E-03,+39.925E-03
+485.800E-03,+78.442E-03,+47.211E-03
+487.150E-03,+84.221E-03,+46.457E-03
+488.500E-03,+77.186E-03,+47.211E-03
+489.850E-03,+74.925E-03,+54.497E-03
+491.200E-03,+92.764E-03,+76.106E-03
+492.550E-03,+64.874E-03,+76.106E-03
+493.900E-03,+81.206E-03,+107.513E-03
+495.250E-03,+95.025E-03,+126.859E-03
+496.600E-03,+96.784E-03,+126.608E-03
+497.950E-03,+76.935E-03,+99.472E-03
+499.300E-03,+69.397E-03,+80.126E-03
+500.650E-03,+57.337E-03,+46.457E-03
+502.000E-03,+61.357E-03,+31.884E-03
+503.350E-03,+93.015E-03,+59.271E-03
+504.700E-03,+75.427E-03,+45.452E-03
+506.050E-03,+80.452E-03,+56.005E-03
+507.400E-03,+81.457E-03,+77.613E-03
+508.750E-03,+75.678E-03,+87.412E-03
+510.100E-03,+73.166E-03,+95.452E-03
+511.450E-03,+89.497E-03,+122.839E-03
+512.800E-03,+95.276E-03,+125.854E-03
+514.150E-03,+96.533E-03,+119.573E-03
+515.500E-03,+90.000E-03,+104.246E-03
+516.850E-03,+81.457E-03,+77.362E-03
+518.200E-03,+63.869E-03,+42.940E-03
+519.550E-03,+81.457E-03,+48.467E-03
+520.900E-03,+81.457E-03,+43.442E-03
+522.250E-03,+71.910E-03,+44.950E-03
+523.600E-03,+81.457E-03,+67.060E-03
+524.950E-03,+77.437E-03,+80.628E-03
+526.300E-03,+61.859E-03,+80.377E-03
+527.650E-03,+93.518E-03,+121.332E-03
+529.000E-03,+95.276E-03,+129.874E-03
+530.350E-03,+96.533E-03,+127.111E-03
+531.700E-03,+89.497E-03,+108.518E-03
+533.050E-03,+84.221E-03,+88.166E-03
+534.400E-03,+59.849E-03,+44.698E-03
+535.750E-03,+80.955E-03,+47.211E-03
+537.100E-03,+74.673E-03,+40.678E-03
+538.450E-03,+84.221E-03,+50.477E-03
+539.800E-03,+59.095E-03,+41.432E-03
+541.150E-03,+57.337E-03,+48.467E-03
+542.500E-03,+68.643E-03,+75.101E-03
+543.850E-03,+72.161E-03,+97.211E-03
+545.200E-03,+79.950E-03,+114.548E-03
+546.550E-03,+73.417E-03,+108.266E-03
